id,seed,creation_mode,gmean_inv,dem_fpr,dem_ppv,num_leaves,actual_depth,actual_leaves,criterion,max_depht,min_samples_split,max_leaf_nodes,class_weight
4B974DQEM5,106,inicialization,0.10557280900008414,1.0,0.4,9,5,9,0,,2,,
X12SO3R4IL,106,inicialization,0.10557280900008414,1.0,0.4,8,5,8,1,5,2,9,
RX5WESWVLI,106,inicialization,0.3675444679663241,0.380952380952381,0.525,3,2,3,0,3,30,3,2
X29TQ521PJ,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,1,4,8,3,6
9NIURIW928,106,inicialization,0.16333997346592444,1.0,0.5,5,3,5,0,4,11,6,4
YIKCW87EG8,106,inicialization,0.2254033307585166,1.0,0.33333333333333337,4,3,4,1,4,22,4,8
ANG0HXOSNI,106,inicialization,0.2254033307585166,1.0,0.33333333333333337,4,3,4,1,3,30,4,8
RGV3A168MG,106,inicialization,0.683772233983162,0.1428571428571429,0.4166666666666667,2,1,2,0,5,13,2,3
KCUA7K7VUH,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,1,5,33,6,7
CHM9X70DWU,106,inicialization,0.17841616374225078,1.0,0.33333333333333337,4,3,4,1,5,20,6,4
WYA0VZD6SJ,106,inicialization,0.198959010620139,0.047619047619047616,0.4,5,4,5,1,4,17,8,2
RMVQ7CTKXJ,106,inicialization,0.2254033307585166,1.0,0.33333333333333337,5,4,5,0,4,19,6,8
2HBF823FFW,106,inicialization,0.3675444679663241,0.380952380952381,0.525,4,3,4,0,5,36,8,1
Q0ADVR5CDE,106,inicialization,0.17841616374225078,1.0,0.33333333333333337,4,3,4,1,3,17,8,4
K3SO6M6AIL,106,inicialization,0.3675444679663241,0.380952380952381,0.525,5,4,5,1,4,22,8,1
OHVRTZBDBG,106,inicialization,0.16333997346592444,1.0,0.5,4,3,4,1,4,15,8,6
F512K3JL16,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,1,4,33,7,5
HGP75L1OTJ,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,1,3,39,9,5
0W3MGW7MPZ,106,inicialization,0.10557280900008414,1.0,0.4,5,3,5,0,4,8,5,7
P957TNA6CH,106,inicialization,0.10557280900008414,1.0,0.4,5,3,5,1,4,8,5,6
COOLVT7RKG,106,inicialization,0.198959010620139,0.047619047619047616,0.4,5,4,5,0,5,11,6,3
JZ2KUSR6LW,106,inicialization,0.16333997346592444,1.0,0.5,4,3,4,0,4,34,7,7
E22TCOWENY,106,inicialization,0.16333997346592444,1.0,0.5,4,3,4,1,4,18,9,7
O85W20RMFO,106,inicialization,0.10557280900008414,1.0,0.4,6,4,6,0,4,8,6,8
APAAXG5M06,106,inicialization,0.16333997346592444,1.0,0.5,4,3,4,0,3,31,4,6
KEPUR9U05Z,106,inicialization,0.16333997346592444,1.0,0.5,4,3,4,1,5,29,8,7
577U8PHCTP,106,inicialization,0.16333997346592444,1.0,0.5,4,3,4,0,3,29,4,5
O2F4TCYCV8,106,inicialization,0.10557280900008414,1.0,0.4,5,3,5,0,4,8,5,5
IJKAF51P6U,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,0,4,37,8,4
17JP4793GQ,106,inicialization,0.16333997346592444,1.0,0.5,4,3,4,1,5,13,8,6
96ERIQ57H0,106,inicialization,0.198959010620139,0.047619047619047616,0.4,7,5,7,0,5,5,7,2
B4FNJ0A0YN,106,inicialization,0.16333997346592444,1.0,0.5,4,3,4,0,5,20,6,4
NEP3Q3S80F,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,0,4,37,9,7
6JDKBJZ6D6,106,inicialization,0.23623738417402662,1.0,0.0,3,2,3,1,4,35,4,3
UW2TZM99MW,106,inicialization,0.198959010620139,0.047619047619047616,0.4,4,3,4,0,3,32,6,2
2AU8PC7E2Y,106,inicialization,0.10557280900008414,1.0,0.4,5,3,5,1,5,10,7,8
4FAY5WSGSI,106,inicialization,0.05131670194948623,1.0,0.25,7,4,7,0,4,3,8,4
9OEN1U2P55,106,inicialization,0.10557280900008414,1.0,0.4,4,3,4,1,3,6,4,8
3JL4M258GY,106,inicialization,0.10557280900008414,1.0,0.4,5,3,5,1,3,4,6,3
ZBYEOE5O9S,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,0,4,23,3,6
THLXTEVS2I,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,1,4,36,3,7
0FFM3TDAOU,106,inicialization,0.198959010620139,0.047619047619047616,0.4,5,4,5,1,4,16,5,2
O3ORLO4FRJ,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,1,5,34,5,7
7G7LMRJZTD,106,inicialization,0.198959010620139,0.047619047619047616,0.4,5,4,5,0,5,22,7,2
LOGQGJXJW7,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,0,5,28,3,6
1GUH7HIDEQ,106,inicialization,0.16333997346592444,1.0,0.5,4,3,4,1,3,32,9,7
5W5GSHEFNT,106,inicialization,0.198959010620139,0.047619047619047616,0.4,4,3,4,0,4,13,4,3
ZPID7W82Z4,106,inicialization,0.16333997346592444,1.0,0.5,5,4,5,1,4,5,8,4
SS08KR3OWQ,106,inicialization,0.198959010620139,0.047619047619047616,0.4,4,3,4,0,4,37,6,3
1YX17HEKA7,106,inicialization,0.198959010620139,0.047619047619047616,0.4,4,3,4,1,3,26,5,2
Y1TTXEIKB4,106,inicialization,0.2254033307585166,1.0,0.33333333333333337,4,3,4,0,4,39,5,8
WJE1KHELIU,106,inicialization,0.198959010620139,0.047619047619047616,0.4,4,3,4,0,3,8,9,3
3UC79UO73Y,106,inicialization,0.05131670194948623,1.0,0.25,7,4,7,0,5,2,9,4
5H2OVV0KNW,106,inicialization,0.16333997346592444,1.0,0.5,5,4,5,0,5,16,5,5
XAOWTGW8BB,106,inicialization,0.198959010620139,0.047619047619047616,0.4,4,3,4,0,3,25,4,3
ZVA8LKZ5O9,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,1,5,4,3,6
TB1LHF9YXJ,106,inicialization,0.2254033307585166,1.0,0.33333333333333337,4,3,4,0,4,39,5,8
FJ2UJQL033,106,inicialization,0.2254033307585166,1.0,0.33333333333333337,3,2,3,0,5,6,3,8
IS10SZ7LAL,106,inicialization,0.16333997346592444,1.0,0.5,4,3,4,1,3,12,5,6
WPJOGNL2K6,106,inicialization,0.683772233983162,0.1428571428571429,0.4166666666666667,2,1,2,0,4,20,2,3
RK8ARE18ZL,106,inicialization,0.198959010620139,0.047619047619047616,0.4,6,4,6,0,4,3,8,2
J6UWUA6V57,106,inicialization,0.2254033307585166,1.0,0.33333333333333337,2,1,2,0,5,29,2,5
4K0WXF80G2,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,1,3,37,3,6
DGNDD2R3UN,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,0,5,3,3,4
JLGPW52KJE,106,inicialization,0.2254033307585166,1.0,0.33333333333333337,4,3,4,1,4,32,7,8
K7LG5JMLB4,106,inicialization,0.16333997346592444,1.0,0.5,4,3,4,0,5,14,9,4
6ZLR9H58J5,106,inicialization,0.17841616374225078,1.0,0.33333333333333337,4,3,4,1,5,23,6,4
IC3M5ZGH5S,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,1,4,6,3,6
7P0BJQ1D7A,106,inicialization,0.1339745962155613,1.0,0.33333333333333337,5,4,5,0,5,11,5,9
K2ESLVCA8N,106,inicialization,0.3675444679663241,0.380952380952381,0.525,4,3,4,1,5,38,5,1
H57L1O033P,106,inicialization,0.683772233983162,0.1428571428571429,0.4166666666666667,2,1,2,1,5,32,2,2
4RALRSPR8L,106,inicialization,0.198959010620139,0.047619047619047616,0.4,5,4,5,0,4,21,7,3
GQ79H4XPAC,106,inicialization,0.16333997346592444,1.0,0.5,4,3,4,0,3,33,5,7
BXNPNOJ9GV,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,0,4,34,9,4
XC1ZYTPQCW,106,inicialization,0.3675444679663241,0.380952380952381,0.525,5,4,5,0,5,34,9,1
91VA6YYF28,106,inicialization,0.3675444679663241,0.380952380952381,0.525,4,3,4,0,3,19,7,1
OFQN09VDWH,106,inicialization,0.3675444679663241,0.380952380952381,0.525,4,3,4,0,4,24,4,1
4654HQF282,106,inicialization,0.10557280900008414,1.0,0.4,6,4,6,0,4,6,6,5
O226WXQUK8,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,0,4,38,4,7
NOUO06HE6R,106,inicialization,0.16333997346592444,1.0,0.5,4,3,4,1,5,22,5,7
AXA9V0NWY8,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,0,5,33,9,4
A5EBVPR5ZB,106,inicialization,0.2254033307585166,1.0,0.33333333333333337,3,2,3,1,4,36,6,9
26VGYS8NJA,106,inicialization,0.05131670194948623,1.0,0.25,7,4,7,0,4,3,7,4
6A72EPW17P,106,inicialization,0.2254033307585166,1.0,0.33333333333333337,2,1,2,0,5,30,2,5
SM25TLUC0C,106,inicialization,0.10557280900008414,1.0,0.4,6,4,6,0,5,8,7,8
9GJDCPP71B,106,inicialization,0.198959010620139,0.047619047619047616,0.4,4,3,4,1,3,33,7,2
1EL81QPOCD,106,inicialization,0.2254033307585166,1.0,0.33333333333333337,4,3,4,0,3,9,5,8
1ZLCR9VBJG,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,0,4,14,3,6
Y4992JRS2R,106,inicialization,0.23623738417402662,1.0,0.0,4,3,4,1,4,22,4,3
XO54SELLLG,106,inicialization,0.2254033307585166,1.0,0.33333333333333337,2,1,2,0,3,26,2,5
JSRK8SW1U8,106,inicialization,0.16333997346592444,1.0,0.5,5,4,5,0,4,30,9,6
M9GIH72PEI,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,0,5,31,3,7
2VLSQQHY7P,106,inicialization,0.23623738417402662,1.0,0.0,3,2,3,1,3,19,3,3
RT6RFLSFK5,106,inicialization,0.16333997346592444,1.0,0.5,3,2,3,1,3,31,3,5
