id,creation_mode,error,dem_fp,dem_ppv,num_leaves,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
JWK9LYS1C7,inicialization,0.45180085907428547,0.07662337662337662,0.02954545454545454,106,0,,2,,
87LY2O6IFD,inicialization,0.4330659451229366,0.001731601731601723,0.27700348432055755,90,1,13,2,106,
L26O77J504,inicialization,0.6087538837209818,1.0,0.4,23,1,5,5,37,7
611ZIKXNEP,inicialization,0.38219793678478453,0.01558441558441559,0.3185185185185186,28,1,7,23,48,6
RU4826NZPN,inicialization,0.6604306369085375,0.016017316017316013,0.5,38,1,12,26,58,9
7DZH4LTE7Y,inicialization,0.41082484744713055,0.13549783549783548,0.04113475177304965,20,1,7,36,20,4
MKO70IJ48O,inicialization,0.5553993399844084,0.016017316017316013,0.33333333333333337,14,0,5,12,14,7
A0RUR20P1M,inicialization,0.370388314502875,0.10562770562770568,0.2497354497354497,4,1,11,28,4,3
3NOQFKY4IA,inicialization,0.5410226166985839,0.02251082251082251,0.2833333333333333,38,0,7,9,46,9
PKEH4HKRKL,inicialization,0.41424434906400165,0.01255411255411254,0.2121212121212121,15,1,4,9,101,2
2Z4EV8I33P,inicialization,0.4103704122445494,0.05194805194805194,0.22377622377622386,53,1,10,12,104,8
J4MEF9M2BQ,inicialization,0.4187197737007212,0.05367965367965366,0.13157894736842107,32,1,9,25,51,3
LQ9FGHNJEL,inicialization,0.4543719914959258,0.013852813852813853,0.4461538461538461,27,1,7,26,46,7
4RWQ2PN4NZ,inicialization,0.46440482297534735,0.06103896103896103,0.4,49,0,10,15,53,7
FD3NB2BHT7,inicialization,0.6253656753673225,1.0,0.0,7,1,3,37,102,7
D2M2YOQULR,inicialization,0.6369850812190591,0.016017316017316013,0.5333333333333334,36,1,11,28,97,8
MSFH9QS6MN,inicialization,0.4614126478667898,0.01558441558441559,0.42207792207792205,27,0,10,23,27,6
RAN2ZPKZ56,inicialization,0.4309439137934695,0.141991341991342,0.1774193548387097,31,0,8,19,31,2
7PV0GZF1F5,inicialization,0.5110707330877085,0.06103896103896103,0.35,20,0,7,35,95,7
SAU56CLMNY,inicialization,0.45058073929001596,0.09696969696969696,0.06618962432915926,29,0,7,22,97,5
F67SC5YX1C,inicialization,0.3665711659126806,0.06536796536796535,0.28104575163398693,35,1,12,30,38,6
8XRSGPRWMK,inicialization,0.49490343579434404,0.020346320346320345,0.014285714285714346,10,1,4,38,42,6
LP0XKSX8Z3,inicialization,0.5924904725048378,1.0,0.5833333333333333,16,0,5,34,36,8
9XLCHMPA03,inicialization,0.45228966803544246,0.11601731601731602,0.4888888888888888,46,1,8,8,66,6
5X4BKNK0MM,inicialization,0.43948023891096066,0.07662337662337662,0.07500000000000001,11,1,5,15,11,5
4IL9EGDUYT,inicialization,0.557210348163597,0.025108225108225107,0.42857142857142855,20,0,6,22,20,7
VTO35UINSF,inicialization,0.5726004018494362,1.0,0.6363636363636364,25,0,6,25,74,8
R5P71CYGB0,inicialization,0.41906546521288934,0.1688311688311689,0.190286335628851,28,1,8,34,94,1
NO8L2KXH43,inicialization,0.4422346524404177,0.010822510822510817,0.14069264069264065,78,1,11,4,98,4
NG302YES4V,inicialization,0.4128741585346869,0.013852813852813853,0.36789297658862874,52,1,11,9,52,8
G4PT5A6ZLP,inicialization,0.39346445919417605,0.041991341991342024,0.16808059384941676,24,1,5,3,77,2
IBOMVL71ZR,inicialization,0.4401974749834855,0.08528138528138524,0.18253968253968256,28,1,8,33,90,3
LOA6ZN77BG,inicialization,0.425556557601361,0.01948051948051943,0.16176470588235292,47,1,10,9,47,2
YODQHUJBNZ,inicialization,0.4988963566385528,0.0021645021645021606,0.11250000000000004,15,1,5,33,91,7
CPEQUIM2QX,inicialization,0.49081031083952453,0.02251082251082251,0.35151515151515156,22,0,6,14,22,6
