id,seed,creation_mode,gmean_inv,dem_fpr,dem_ppv,num_leaves,actual_depth,actual_leaves,criterion,max_depht,min_samples_split,max_leaf_nodes,class_weight
IFYRYMFTNL,108,inicialization,0.0,1.0,0.0,6,4,6,0,,2,,
MUMHMF91G8,108,inicialization,0.0,1.0,0.0,6,4,6,1,4,2,6,
UYND2CWVPM,108,inicialization,1.0,0.0,0.5892857142857143,2,1,2,1,4,10,2,2
HZLVP2AWLO,108,inicialization,0.09546596626670911,1.0,0.0,5,3,5,1,4,3,5,7
5MG7JDLIVQ,108,inicialization,0.09546596626670911,1.0,0.0,3,2,3,0,4,31,3,4
C2ZUR85ES6,108,inicialization,0.09546596626670911,1.0,0.0,3,2,3,0,3,9,3,5
JZPBUESYH2,108,inicialization,0.09546596626670911,0.9,0.07499999999999996,4,3,4,0,3,40,4,2
6GEX311YUG,108,inicialization,0.09546596626670911,1.0,0.0,3,2,3,1,4,33,4,4
4J0H94FF5M,108,inicialization,0.09546596626670911,1.0,0.0,4,3,4,1,3,22,4,5
Z09L62HKEY,108,inicialization,0.09546596626670911,1.0,0.0,4,3,4,1,4,23,6,4
KDERADTYDO,108,inicialization,0.09090909090909094,1.0,0.25,4,3,4,0,4,32,5,3
3MQCOZT0VQ,108,inicialization,0.09546596626670911,1.0,0.0,2,1,2,1,4,9,2,4
AK0Y2956YK,108,inicialization,0.09546596626670911,1.0,0.0,3,2,3,1,3,38,5,2
SNHW8W5QSF,108,inicialization,0.09546596626670911,1.0,0.0,3,2,3,0,4,35,3,7
1WD8M2J057,108,inicialization,0.09546596626670911,1.0,0.0,2,1,2,1,4,32,2,5
2RB0U5HEA7,108,inicialization,0.09546596626670911,1.0,0.0,4,3,4,1,4,25,4,7
FW0OHIZ2UF,108,inicialization,0.09546596626670911,1.0,0.0,3,2,3,1,3,23,3,3
QS3LOBW5R5,108,inicialization,0.09546596626670911,1.0,0.0,4,3,4,1,3,4,4,2
NRRFI4OK11,108,inicialization,0.09546596626670911,1.0,0.0,5,3,5,1,4,11,5,2
3HUR8JLUDV,108,inicialization,0.09546596626670911,1.0,0.0,2,1,2,1,4,8,2,4
