id,seed,creation_mode,gmean_inv,dem_fpr,dem_ppv,dem_pnr,max_iter,tol,lambda,l1_ratio,class_weight
JWK9LYS1C7,102,inicialization,0.2022759647825344,0.6071428571428572,0.10000000000000009,0.4545454545454545,100,0.0001,1.0,0.0,
87LY2O6IFD,102,inicialization,0.0,0.0,0.0,0.2727272727272727,100,0.0001,1.0,1.0,
L26O77J504,102,inicialization,0.09546596626670911,0.0,0.0,0.4545454545454546,141,0.02471932825422331,9200.321173056378,0.3329814924114096,7
611ZIKXNEP,102,inicialization,0.14719713457755823,0.0,0.0,0.5454545454545454,134,0.043340350348922335,55806.1198950929,0.4405835491765132,6
RU4826NZPN,102,inicialization,0.14719713457755823,0.0,0.0,0.3636363636363637,128,0.09150786392717213,62308.24341498146,0.5336704465529557,9
7DZH4LTE7Y,102,inicialization,0.04653741075440765,0.0,0.0,0.36363636363636365,151,0.0415959594605866,88750.29838912327,0.17206119159676547,4
MKO70IJ48O,102,inicialization,0.14719713457755823,0.0,0.0,0.5454545454545454,22,0.024238437134597758,27547.776790437492,0.1157528990422052,7
A0RUR20P1M,102,inicialization,0.0,0.0,0.0,0.2727272727272727,143,0.08335548787680962,67973.9845032804,0.022397365162219574,3
3NOQFKY4IA,102,inicialization,0.09546596626670911,0.0,0.0,0.4545454545454546,66,0.040707015675823376,18479.472952492233,0.4269040726268196,9
PKEH4HKRKL,102,inicialization,0.04653741075440765,0.14285714285714285,0.19999999999999996,0.18181818181818177,176,0.0061338341544616435,18849.33170555107,0.9497766935823135,2
2Z4EV8I33P,102,inicialization,0.14719713457755823,0.0,0.0,0.3636363636363637,163,0.0714789998278239,26080.216895659993,0.9791561684086968,8
J4MEF9M2BQ,102,inicialization,0.14719713457755823,0.0357142857142857,0.20833333333333337,0.18181818181818182,111,0.05568126568254629,59827.03842321893,0.47116694043501794,3
LQ9FGHNJEL,102,inicialization,0.09546596626670911,0.0,0.0,0.27272727272727276,176,0.03977286192828615,63836.07638582804,0.4214293221716352,7
4RWQ2PN4NZ,102,inicialization,0.2614510541240036,0.0,0.0,0.36363636363636365,40,0.06907725707529395,33912.00619519324,0.4870391826090873,7
FD3NB2BHT7,102,inicialization,0.04653741075440765,0.0,0.0,0.36363636363636365,151,0.0022882758005704947,92464.98910568639,0.9657272536146612,7
D2M2YOQULR,102,inicialization,0.2022759647825344,0.0,0.0,0.45454545454545453,154,0.081449326800716,68184.22626182831,0.9149427205131596,8
MSFH9QS6MN,102,inicialization,0.09546596626670911,0.0,0.0,0.4545454545454546,34,0.07278867152321872,54417.480402176516,0.23751032859088184,6
RAN2ZPKZ56,102,inicialization,0.14719713457755823,0.0357142857142857,0.20833333333333337,0.18181818181818182,22,0.05369757361440546,43568.5408517275,0.28299598771151324,2
7PV0GZF1F5,102,inicialization,0.09546596626670911,0.0,0.0,0.27272727272727276,105,0.03672289703742641,85735.30406238663,0.8928585699765678,7
SAU56CLMNY,102,inicialization,0.04653741075440765,0.14285714285714285,0.19999999999999996,0.18181818181818177,63,0.038367869244364215,53358.28995289986,0.9107322033847796,5
F67SC5YX1C,102,inicialization,0.09546596626670911,0.0,0.0,0.4545454545454546,172,0.08847244347699415,74152.85767915852,0.34688911410580914,6
8XRSGPRWMK,102,inicialization,0.09546596626670911,0.0,0.0,0.4545454545454546,160,0.014217277065731592,93883.74997355392,0.381926742532545,6
LP0XKSX8Z3,102,inicialization,0.09546596626670911,0.0,0.0,0.4545454545454546,79,0.015432351012424102,82925.16115103496,0.3258860840228682,8
9XLCHMPA03,102,inicialization,0.09546596626670911,0.0,0.0,0.4545454545454546,170,0.052197256585756135,15962.566611364553,0.6119505654730074,6
5X4BKNK0MM,102,inicialization,0.09546596626670911,0.2857142857142857,0.33333333333333337,0.09090909090909088,145,0.018366776697576172,33840.76227447189,0.08917227202006162,5
4IL9EGDUYT,102,inicialization,0.09546596626670911,0.0,0.0,0.4545454545454546,38,0.03314599586447105,51540.602939957585,0.17575986118525166,7
VTO35UINSF,102,inicialization,0.09546596626670911,0.0,0.0,0.4545454545454546,91,0.034922426503809036,61770.32676030252,0.691294731866974,8
R5P71CYGB0,102,inicialization,0.2022759647825344,0.2142857142857143,0.11111111111111116,0.2727272727272727,197,0.04893451786520759,83236.21375925711,0.8805207969983355,1
NO8L2KXH43,102,inicialization,0.2614510541240036,0.4642857142857143,0.033333333333333326,0.36363636363636365,163,0.07806237547068745,4407.097499602051,0.9261322637781231,4
NG302YES4V,102,inicialization,0.2022759647825344,0.0,0.0,0.45454545454545453,154,0.07719068974179501,19016.548707811864,0.4809467207851448,8
G4PT5A6ZLP,102,inicialization,0.09546596626670911,0.2857142857142857,0.33333333333333337,0.09090909090909088,189,0.02121582363250367,3365.4682749606045,0.7245893589657325,2
IBOMVL71ZR,102,inicialization,0.14719713457755823,0.0357142857142857,0.20833333333333337,0.18181818181818182,136,0.04882354390377691,81961.91752258874,0.844369523856009,3
LOA6ZN77BG,102,inicialization,0.14719713457755823,0.0357142857142857,0.20833333333333337,0.18181818181818182,189,0.06572820273466048,17213.63007785723,0.4307033320648246,2
YODQHUJBNZ,102,inicialization,0.14719713457755823,0.0,0.0,0.3636363636363637,153,0.01707892076985254,81501.68111303318,0.8560439356996207,7
CPEQUIM2QX,102,inicialization,0.09546596626670911,0.0,0.0,0.4545454545454546,82,0.026524259452840652,31984.061225446545,0.19452749187495377,6
ZV81B7Y20M,102,inicialization,0.14719713457755823,0.0,0.0,0.3636363636363637,166,0.024327113036450153,39779.83960304143,0.9004010594596296,7
OMT3280N1N,102,inicialization,0.14719713457755823,0.0,0.0,0.3636363636363637,128,0.02201323227227201,82152.60040390877,0.06494427725450291,7
7QQBRYKI8R,102,inicialization,0.14719713457755823,0.0,0.0,0.3636363636363637,156,0.09739058796871766,31853.336014163342,0.29986366844040824,9
WU933YCXAH,102,inicialization,0.14719713457755823,0.0357142857142857,0.20833333333333337,0.18181818181818182,123,0.0876792326196659,43436.278389967425,0.6357822111989407,5
5SKHZYG65Y,102,inicialization,0.2614510541240036,0.4642857142857143,0.033333333333333326,0.36363636363636365,101,0.0775965843732743,35419.769033950855,0.39005079530577447,4
Y4QVM5MDMX,102,inicialization,0.0,0.0,0.0,0.2727272727272727,134,0.03459434446896658,35534.77624735984,0.1279208490216055,7
1IOYLAQFWW,102,inicialization,0.2614510541240036,0.07142857142857145,0.2063492063492064,0.18181818181818182,166,0.07383463960490097,9114.870849757534,0.3874201626654319,1
XHATSLHXL7,102,inicialization,0.09546596626670911,0.0,0.0,0.4545454545454546,169,0.027089091054926177,87579.17040495067,0.506923273028418,8
2RB2IAI9WC,102,inicialization,0.09546596626670911,0.0,0.0,0.27272727272727276,64,0.058156912837597885,85225.15885036164,0.004970372907963316,7
IB5KYZAGJ6,102,inicialization,0.0,0.0,0.0,0.2727272727272727,105,0.02142139946105765,52436.821314120374,0.41253653014808334,2
1NATSTLIQK,102,inicialization,0.04653741075440765,0.0,0.0,0.36363636363636365,118,0.01425690523263441,27182.074295591465,0.1195959850560655,6
OSYGJ98641,102,inicialization,0.14719713457755823,0.0357142857142857,0.20833333333333337,0.18181818181818182,71,0.0952492069930147,56113.11530297982,0.5023494188214902,2
C4DQDYTUTC,102,inicialization,0.2022759647825344,0.2142857142857143,0.11111111111111116,0.2727272727272727,27,0.04792932401180336,72748.97715530514,0.16528536893077295,1
2OBCFSEIE2,102,inicialization,0.04653741075440765,0.0,0.0,0.36363636363636365,179,0.005831860590159733,6032.111649475294,0.2800809657143518,5
YZZ0DS9G21,102,inicialization,0.14719713457755823,0.0357142857142857,0.20833333333333337,0.18181818181818182,182,0.05887496132435999,89016.72193346123,0.06369462748551502,3
5X4BKNK0MM,102,inicialization,0.09546596626670911,0.2857142857142857,0.33333333333333337,0.09090909090909088,145,0.018366776697576172,33840.76227447189,0.08917227202006162,5
G4PT5A6ZLP,102,inicialization,0.09546596626670911,0.2857142857142857,0.33333333333333337,0.09090909090909088,189,0.02121582363250367,3365.4682749606045,0.7245893589657325,2
25Y2WSBZHM,102,mutation,0.09546596626670911,0.2857142857142857,0.33333333333333337,0.09090909090909088,57,0.03209144717409853,34161.48819696427,0.17202166444353006,3
OPJDOUSE1W,102,crossover,0.09546596626670911,0.2857142857142857,0.33333333333333337,0.09090909090909088,158,0.03200508907643132,42411.943355354655,0.5780565635251913,3
PKEH4HKRKL,102,inicialization,0.04653741075440765,0.14285714285714285,0.19999999999999996,0.18181818181818177,176,0.0061338341544616435,18849.33170555107,0.9497766935823135,2
SAU56CLMNY,102,inicialization,0.04653741075440765,0.14285714285714285,0.19999999999999996,0.18181818181818177,63,0.038367869244364215,53358.28995289986,0.9107322033847796,5
0CG2S5L332,102,mutation,0.04653741075440765,0.14285714285714285,0.19999999999999996,0.18181818181818177,158,0.03181439803431785,78276.71367401577,0.247531219802161,5
5QNX1W61JI,102,mutation,0.04653741075440765,0.14285714285714285,0.19999999999999996,0.18181818181818177,167,0.02819164192945591,61137.25204070545,0.23439847264308014,5
NBCE5FKHT3,102,mutation,0.04653741075440765,0.0,0.0,0.18181818181818182,148,0.019905684581822247,43261.119038647004,0.4572914001332916,4
WCJQVU2JDQ,102,crossover,0.04653741075440765,0.0,0.0,0.18181818181818182,163,0.019236178121290422,33817.5160370163,0.21774368466803715,4
87LY2O6IFD,102,inicialization,0.0,0.0,0.0,0.2727272727272727,100,0.0001,1.0,1.0,
A0RUR20P1M,102,inicialization,0.0,0.0,0.0,0.2727272727272727,143,0.08335548787680962,67973.9845032804,0.022397365162219574,3
Y4QVM5MDMX,102,inicialization,0.0,0.0,0.0,0.2727272727272727,134,0.03459434446896658,35534.77624735984,0.1279208490216055,7
IB5KYZAGJ6,102,inicialization,0.0,0.0,0.0,0.2727272727272727,105,0.02142139946105765,52436.821314120374,0.41253653014808334,2
YB4D7PUHJD,102,crossover,0.0,0.0,0.0,0.2727272727272727,113,0.08046878376381472,72249.04352072433,0.723333397826663,3
MTBH9OV82M,102,crossover,0.14719713457755823,0.0357142857142857,0.20833333333333337,0.18181818181818182,161,0.05890847129832219,48204.60860743605,0.6654075348398611,5
7DZH4LTE7Y,102,inicialization,0.04653741075440765,0.0,0.0,0.36363636363636365,151,0.0415959594605866,88750.29838912327,0.17206119159676547,4
WXYS1AIVUE,102,crossover,0.2022759647825344,0.2142857142857143,0.11111111111111116,0.2727272727272727,124,0.03856014311368361,25372.96289985999,0.3956208272448254,1
1IOYLAQFWW,102,inicialization,0.2614510541240036,0.07142857142857145,0.2063492063492064,0.18181818181818182,166,0.07383463960490097,9114.870849757534,0.3874201626654319,1
EXJQSB7D4V,102,crossover,0.04653741075440765,0.0,0.0,0.36363636363636365,153,0.04158137550723583,31796.05277434148,0.16977557891944642,4
R5P71CYGB0,102,inicialization,0.2022759647825344,0.2142857142857143,0.11111111111111116,0.2727272727272727,197,0.04893451786520759,83236.21375925711,0.8805207969983355,1
HJABSQHVDR,102,crossover,0.09546596626670911,0.0,0.0,0.27272727272727276,147,0.052186708613200135,29246.435198017996,0.36673858515610047,7
J4MEF9M2BQ,102,inicialization,0.14719713457755823,0.0357142857142857,0.20833333333333337,0.18181818181818182,111,0.05568126568254629,59827.03842321893,0.47116694043501794,3
LQ9FGHNJEL,102,inicialization,0.09546596626670911,0.0,0.0,0.27272727272727276,176,0.03977286192828615,63836.07638582804,0.4214293221716352,7
RAN2ZPKZ56,102,inicialization,0.14719713457755823,0.0357142857142857,0.20833333333333337,0.18181818181818182,22,0.05369757361440546,43568.5408517275,0.28299598771151324,2
IBOMVL71ZR,102,inicialization,0.14719713457755823,0.0357142857142857,0.20833333333333337,0.18181818181818182,136,0.04882354390377691,81961.91752258874,0.844369523856009,3
LOA6ZN77BG,102,inicialization,0.14719713457755823,0.0357142857142857,0.20833333333333337,0.18181818181818182,189,0.06572820273466048,17213.63007785723,0.4307033320648246,2
WU933YCXAH,102,inicialization,0.14719713457755823,0.0357142857142857,0.20833333333333337,0.18181818181818182,123,0.0876792326196659,43436.278389967425,0.6357822111989407,5
