id,creation_mode,error,dem_fp,dem_ppv,num_leaves,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
3NEHY3VH5F,inicialization,0.173101769405277,1.0,0.5,6,0,,2,,
IOBCOGI7SL,inicialization,0.13274181921601214,1.0,0.4,5,1,4,2,6,
00OPFXMN64,inicialization,0.18350341907227397,1.0,0.0,3,1,4,36,5,5
37M7SC4JI0,inicialization,0.18350341907227397,1.0,0.0,3,1,4,20,3,8
FT5HGYSB94,inicialization,0.18350341907227397,1.0,0.0,3,1,3,33,4,7
EL2CUSA8PP,inicialization,0.13274181921601214,0.1388888888888889,0.08333333333333337,4,1,3,17,4,6
YB43VF9JCU,inicialization,0.18350341907227397,1.0,0.0,2,0,4,11,2,5
ZLLRX7C5WI,inicialization,0.18350341907227397,1.0,0.0,2,0,4,5,2,8
K01SS8U0QR,inicialization,0.18350341907227397,1.0,0.0,3,1,3,25,3,7
0JI328AH5B,inicialization,0.057190958417936644,1.0,0.0,4,1,3,25,5,4
HQA98HDIJ7,inicialization,0.173101769405277,1.0,0.5,6,0,4,4,6,5
PQ1FSY4TM0,inicialization,0.18350341907227397,1.0,0.0,4,1,4,22,5,9
VGWS6SF43Z,inicialization,0.18350341907227397,1.0,0.0,2,1,3,13,2,7
7GPUSWYVMH,inicialization,0.18350341907227397,1.0,0.0,4,0,4,14,4,7
RJ2UURG9ZH,inicialization,0.08013378899220014,1.0,0.33333333333333337,5,0,4,8,5,4
7U29RCJ5K0,inicialization,0.18350341907227397,1.0,0.0,4,0,3,36,5,8
W1GRWHQ9CB,inicialization,0.26620061429465725,0.3055555555555556,0.38888888888888895,3,1,4,9,3,4
GXARWJM3T0,inicialization,0.18350341907227397,1.0,0.0,3,1,3,13,3,8
3UFKT1PV8L,inicialization,0.13274181921601214,0.1388888888888889,0.08333333333333337,4,0,4,27,5,6
QKROH248UF,inicialization,0.08013378899220014,1.0,0.33333333333333337,4,0,4,3,4,4
VLV2AIPFYM,inicialization,0.13274181921601214,0.1388888888888889,0.08333333333333337,4,1,3,29,4,6
IBYDYE21XI,inicialization,0.18350341907227397,1.0,0.0,3,1,3,32,3,7
ATJHTMBF5T,inicialization,0.09417837268432339,1.0,0.25,5,0,4,4,5,6
TBV7RJY5L7,inicialization,0.09417837268432339,1.0,0.25,5,1,3,10,6,7
OW3C3DSVHJ,inicialization,0.18350341907227397,1.0,0.0,4,0,4,18,5,7
Z1KC5UBZPV,inicialization,0.21553545944726393,0.08333333333333331,0.33333333333333337,4,0,3,26,5,5
KHGZXEW7GY,inicialization,0.21553545944726393,0.08333333333333331,0.33333333333333337,4,0,4,15,6,5
WL7L6DQY63,inicialization,0.09417837268432339,1.0,0.25,5,1,4,6,6,6
KEBD81GXD2,inicialization,0.32063377951324257,0.41666666666666663,0.43333333333333335,2,0,4,12,2,4
UUDI878ANV,inicialization,0.1229419806929708,1.0,0.4285714285714286,4,0,3,27,5,2
86FR5O1W3E,inicialization,0.09417837268432339,1.0,0.25,5,1,3,10,5,7
80C036ZLJJ,inicialization,0.1229419806929708,1.0,0.4285714285714286,4,1,3,6,4,2
9NJ87X0U1E,inicialization,0.18350341907227397,1.0,0.0,4,1,4,19,4,7
K68L556OHT,inicialization,0.26620061429465725,0.3055555555555556,0.38888888888888895,3,1,4,27,5,4
7BCVI694KI,inicialization,0.18350341907227397,1.0,0.0,4,1,3,15,4,7
0S74R8ZNGN,inicialization,0.1229419806929708,1.0,0.4285714285714286,3,0,4,6,3,4
O3ILHTBZ2D,inicialization,0.09417837268432339,1.0,0.25,5,1,3,12,5,6
7UR6PGY6RQ,inicialization,0.32063377951324257,0.41666666666666663,0.43333333333333335,2,0,4,3,2,3
DTX6GVN198,inicialization,0.18350341907227397,1.0,0.0,3,1,4,26,3,8
CIMY8QX32K,inicialization,0.1229419806929708,1.0,0.4285714285714286,3,0,4,17,3,1
0VFI32E2LT,inicialization,0.18350341907227397,1.0,0.0,4,0,3,23,4,7
IDB9UACOPL,inicialization,0.13274181921601214,1.0,0.4,5,1,4,3,5,5
NPEH4TQOA6,inicialization,0.32063377951324257,0.41666666666666663,0.43333333333333335,2,1,4,18,2,2
CRFNAGQ5BC,inicialization,0.1229419806929708,1.0,0.4285714285714286,4,1,4,35,6,2
ESISSCFUAJ,inicialization,0.18350341907227397,1.0,0.0,5,0,4,30,6,9
LKHHA165EH,inicialization,0.18350341907227397,1.0,0.0,4,0,4,28,5,7
JXQI278RNN,inicialization,0.13274181921601214,0.1388888888888889,0.08333333333333337,3,1,3,9,3,6
08WP80W6TS,inicialization,0.18350341907227397,1.0,0.0,2,1,4,34,2,7
8FEN894E9H,inicialization,0.18350341907227397,1.0,0.0,3,0,4,37,3,8
ZWBAJCEX0H,inicialization,0.18350341907227397,1.0,0.0,4,0,4,24,5,7
QROEMCBPL5,inicialization,0.18350341907227397,1.0,0.0,2,1,3,22,2,5
HQ9XG2U3FP,inicialization,0.13274181921601214,0.1388888888888889,0.08333333333333337,4,0,3,15,6,6
AJVJBS8IUZ,inicialization,0.18350341907227397,1.0,0.0,4,1,4,16,6,8
D20W3RREBP,inicialization,0.26620061429465725,0.3055555555555556,0.38888888888888895,3,1,3,39,5,4
5IPELCJDF9,inicialization,0.18350341907227397,1.0,0.0,3,1,3,39,4,7
ZX2J89DFTA,inicialization,0.09417837268432339,1.0,0.25,4,0,3,7,4,7
W1UKFJOOWJ,inicialization,0.1229419806929708,1.0,0.4285714285714286,4,1,4,35,5,2
T3PGR15376,inicialization,0.18350341907227397,1.0,0.0,3,1,3,8,3,7
XBRMLQQJHG,inicialization,0.08013378899220014,1.0,0.33333333333333337,5,0,4,15,5,4
9VAR5SDFKI,inicialization,0.22650753184623817,1.0,0.6,5,1,4,4,5,2
JNV00225UB,inicialization,0.13274181921601214,0.1388888888888889,0.08333333333333337,4,1,4,21,4,6
ZOG4ZG0YTT,inicialization,0.13274181921601214,0.1388888888888889,0.08333333333333337,3,0,3,16,3,5
Z0W29ST8KN,inicialization,0.1229419806929708,1.0,0.4285714285714286,4,1,3,16,5,2
4SI9XGW34R,inicialization,0.09417837268432339,1.0,0.25,4,0,3,8,4,6
55J7F8RJFL,inicialization,0.1229419806929708,1.0,0.4285714285714286,3,0,4,32,3,3
IN5RDM33XJ,inicialization,0.08013378899220014,1.0,0.33333333333333337,4,0,4,32,4,4
MZM08863VB,inicialization,0.13274181921601214,0.1388888888888889,0.08333333333333337,3,1,4,35,3,6
AGJ1OHSWT9,inicialization,0.32063377951324257,0.41666666666666663,0.43333333333333335,2,1,3,21,2,3
X6R0J05VM6,inicialization,0.13274181921601214,1.0,0.4,5,1,4,11,6,4
VG99EDSE74,inicialization,0.18350341907227397,1.0,0.0,2,0,3,5,2,9
CTSY8JER3C,inicialization,0.1229419806929708,1.0,0.4285714285714286,4,0,3,28,4,2
ZBQ89Z1SD6,inicialization,0.1229419806929708,1.0,0.4285714285714286,4,1,4,20,4,1
G5QJR8JO4P,inicialization,0.1229419806929708,1.0,0.4285714285714286,4,1,3,3,4,3
MN41VUTPK5,inicialization,0.18350341907227397,1.0,0.0,3,1,3,22,3,8
3JJ6Y1UQDS,inicialization,0.1229419806929708,1.0,0.4285714285714286,3,1,4,28,3,3
FQDNXEJBD6,inicialization,0.1229419806929708,1.0,0.4285714285714286,3,0,3,21,3,4
D8PMYVSIZH,inicialization,0.057190958417936644,1.0,0.0,4,1,3,14,5,4
3HQNDMBZQC,inicialization,0.18350341907227397,1.0,0.0,3,1,3,38,5,5
ZCIGPJRWF4,inicialization,0.18350341907227397,1.0,0.0,3,1,4,39,3,8
4ODPYBWF5S,inicialization,0.1229419806929708,1.0,0.4285714285714286,3,1,3,32,3,3
6HER876ABF,inicialization,0.18350341907227397,1.0,0.0,4,1,4,19,5,9
59W8AS5RQO,inicialization,0.1229419806929708,1.0,0.4285714285714286,3,1,4,14,3,1
NFA9KPOE3H,inicialization,0.1229419806929708,1.0,0.4285714285714286,4,0,3,33,4,3
BG5ZLPWFSS,inicialization,0.1229419806929708,1.0,0.4285714285714286,4,1,3,25,4,2
4TGQUTG1PK,inicialization,0.1229419806929708,1.0,0.4285714285714286,4,0,3,13,5,3
R4361VNRCC,inicialization,0.18350341907227397,1.0,0.0,3,1,3,29,6,5
Y0CTIWAOPS,inicialization,0.1229419806929708,1.0,0.4285714285714286,4,0,4,34,6,3
EUPPPXN33H,inicialization,0.32063377951324257,0.41666666666666663,0.43333333333333335,2,1,3,19,2,2
KQVXIJ0Q67,inicialization,0.18350341907227397,1.0,0.0,3,0,4,27,3,7
NPOGKFAIZ9,inicialization,0.18350341907227397,1.0,0.0,4,0,4,29,4,9
RR46GY187F,inicialization,0.08013378899220014,1.0,0.33333333333333337,5,0,4,15,5,4
5JT1M3V89O,inicialization,0.32063377951324257,0.41666666666666663,0.43333333333333335,2,0,3,30,2,4
AXTWR42IE4,inicialization,0.18350341907227397,1.0,0.0,4,0,3,16,4,7
1DCNINC5VM,inicialization,0.1229419806929708,1.0,0.4285714285714286,3,0,4,4,3,3
R8H6XPKBSO,inicialization,0.1229419806929708,1.0,0.4285714285714286,4,1,4,23,4,3
L4VI0ISDGR,inicialization,0.18350341907227397,1.0,0.0,2,1,4,5,2,7
NK0N34XDAM,inicialization,0.18350341907227397,1.0,0.0,4,1,3,17,6,7
K5J0706TGV,inicialization,0.1229419806929708,1.0,0.4285714285714286,4,1,3,11,4,3
HFQ32VYRSM,inicialization,0.18350341907227397,1.0,0.0,4,1,4,18,6,7
NENVVVSXEE,inicialization,0.18350341907227397,1.0,0.0,3,1,3,39,6,9
P3LI7I0BR2,inicialization,0.09417837268432339,1.0,0.25,5,1,3,5,5,9
2DU25WM243,inicialization,0.18350341907227397,1.0,0.0,4,1,3,22,6,8
Q4KDEECFER,inicialization,0.1229419806929708,1.0,0.4285714285714286,4,0,3,29,4,3
5EYS8V9U6P,inicialization,0.18350341907227397,1.0,0.0,3,0,4,33,3,8
MSAKCC658Y,inicialization,0.18350341907227397,1.0,0.0,3,1,3,18,3,5
W7CJKNQII5,inicialization,0.18350341907227397,1.0,0.0,4,0,3,20,4,7
097W8XPFH4,inicialization,0.1229419806929708,1.0,0.4285714285714286,4,1,4,14,4,3
9BMBKVBYSS,inicialization,0.1229419806929708,1.0,0.4285714285714286,3,0,4,23,3,4
G9GZTQNZC7,inicialization,0.18350341907227397,1.0,0.0,2,1,4,40,2,5
WKXW43HHVB,inicialization,0.1229419806929708,1.0,0.4285714285714286,3,0,3,24,3,1
U6ZGLBKDJN,inicialization,0.18350341907227397,1.0,0.0,3,0,4,36,5,7
Q91P0JLZEV,inicialization,0.1229419806929708,1.0,0.4285714285714286,5,0,4,24,6,3
BP6LVIGSBQ,inicialization,0.18350341907227397,1.0,0.0,3,1,3,12,3,8
2UCZUQHCM0,inicialization,0.08013378899220014,1.0,0.33333333333333337,4,0,3,8,4,4
F7L6XJ0AFV,inicialization,0.13274181921601214,0.1388888888888889,0.08333333333333337,3,0,4,23,3,5
